code,description/en,License,access/availableOnline,access/exampleIdentifiers,access/guidanceOnLocatingIds,access/languages,access/onlineAccessDetails,access/publicDatabase,confirmed,coverage,data/availability,data/dataAccessDetails,data/features,data/licenseDetails,data/licenseStatus,deprecated,formerPrefixes,links/opencorporates,links/wikipedia,listType,meta/lastUpdated,meta/source,name/en,name/local,quality,quality_explained/Availability: API,quality_explained/Availability: Bulk download,quality_explained/Availability: CSV format,quality_explained/Availability: Excel format,quality_explained/Availability: JSON format,quality_explained/Availability: PDF format,quality_explained/Availability: RDF format,quality_explained/Availability: XML format,quality_explained/License: Closed License,quality_explained/License: No License,quality_explained/License: Open License,quality_explained/List type: Local,quality_explained/List type: Primary,quality_explained/List type: Secondary,quality_explained/List type: Third Party,registerType,sector,structure,subnationalCoverage,url
GB-GOR,"The UK Government Organisation Register contains an identifier for every government body with a presence on the gov.uk single domain.

This covers government departments, agencies and Arms Length Bodies (ALBs).

Each organisation is assigned an alphanumeric identifier, and the register also includes website addresses, that can be mapped to entries in the GB-GOVUK identifier list. 

Due to the stable identifiers given in the Government Organisation Register, it should be preferred over codes from the GB-GOVUK list. ",,True,"OT1211, PB1204, EA1113, D1198",The identifier is available in the 'government-organisation' field within the register. Identifiers are short alphanumeric strings. ,en,The list is accessible as open data as part of the OpenRegister platform.,https://government-organisation.register.gov.uk/records,True,GB,"api, bulk, csv, json, rdf",The full list and individual records are available in a number of machine-readable formats.,"date_of_registration, expiry_date",Open Government Licence v3.0,open_license,False,,,,secondary,2017-07-08,https://github.com/OpenDataServices/org-ids/issues/67,Government Organisation Register,,67,2,2,1,,1,,1,,,,10,,,50,,,,government_agency,,https://government-organisation.register.gov.uk/records
CA_ON-ONT,This entry was imported from the Open Corporates Jurisdiction List.,,False,,,"en, fr",,,True,CA,,,,,closed_license,,,,,primary,2016-12-14,Desk research,"ServiceOntario, Ministry of Government Services ", Ministère des Services gouvernementaux,75,,,,,,,,,0,,,,75,,,,,company,CA-ON,https://www.ontario.ca/page/business-and-economy
UG-RSB,Businesses and NGOs register with the Registration Services Bureau and receive an identification number. This number can be used as an identifier. A publicly available database can be search on the Bureau website.,,False,"80010001803086 / BN-55471 , R1000000336259 , 80010003208981 / 101303A","Users can find identifiers by using the database on the bureau website. Users must complete a Captcha puzzle in order to search. The identifiers will be under the column header 'Nr'.

Users should be aware that identifiers are not formed in a uniform manner, and use slashes and hyphens.",en,,http://brs.ursb.go.ug/brs/pro/bnr/searchname#SearchNamePub,True,UG,html,Users must complete Captcha puzzle in order to search,"date_of_registration, registration_number, organisation_name, status, expiry_date",,,,,,,primary,2016-12-16,Desk research,Registration Services Bureau,,75,,,,,,,,,,,,,75,,,,,,,http://www.ursb.go.ug/
FI-PRO,"All business operating in Finland must be registered with the Finnish Trade Register. The Finnish Trade Register is maintained by the Finnish Patent and Registration Office (PRO), whom are also responsible for maintaining the Business Information System, which can be used to search for all companies in Finland, and the API which allows users to download company information in bulk. 

""The Finnish Trade Register (Finnish: Kaupparekisteri, Swedish: Handelsregistret) is a company register in Finland. It provides official information on businesses in the whole country, including data from current and old register entries, articles of association, partnership agreements or rules."" [1]

""The Finnish Trade Register is a public register that contains information about businesses and companies. As a rule, all businesses have to be registered at the Trade Register. Businesses also have to notify the register of any changes in their registered details. Most businesses must also submit their financial statements (annual accounts) to the register. "" [2] 

""The Business Information System BIS (""YTJ"" in Finnish) is a service jointly maintained by the Finnish Patent and Registration Office (PRH) and the Finnish Tax Administration, enabling you to file information to both authorities using one single notification. 

You can use the BIS to:

start a business or an organization
report changes 
close down a business or an organization
search for basic details of companies and organizations using the company search"" [3]

[1] https://en.wikipedia.org/wiki/Finnish_Trade_Register
[2] https://www.prh.fi/en/kaupparekisteri/rekisterointipalvelut.html
[3] https://www.ytj.fi/en/index/whatisbis.html",,False,"1680140-0, 2261873-3, 0551253-1","Users can search for identifiers on this webpage. They must provide a minimum of a company name or company identifier number - https://www.ytj.fi/index.html

It is also available in English - https://www.ytj.fi/en/index.html

The identifier will be located above the information box next to the heading 'Business ID'

The API for the Finnish Trade Register is available here - http://avoindata.prh.fi/ytj.html

It is also available in English - http://avoindata.prh.fi/ytj_en.html","en, fi, sv","Data is either available in a simple, searchable database, or using an API","https://www.ytj.fi/en/index.html , http://avoindata.prh.fi/ytj_en.html",True,FI,"api, html",http://avoindata.prh.fi/index_en.html,"registered_address, website, date_of_registration, organisation_name, parallel/auxiliary_trade_name, organisation_type, business_id_history",Creative Commons Attribution 4.0 - http://avoindata.prh.fi/index_en.html,open_license,,,,,primary,2016-11-23,Desk research,Finnish Patent and Registration Office , PRH - Patentti- ja rekisterihallitus ,87,2,,,,,,,,,,10,,75,,,,,company,,http://www.prh.fi/en/index.html
BO-NIT,"The Número de Identificación Tributaria (NIT), or Tax Identification Number, is the number assigned by the National Tax Service of Bolivia to a taxable natural person or legal entity. It is assigned once an individual or entity registers with the Service, acknowledging that their economic activity can, by law, be taxed.
https://impuestos.com.bo/rnd-03-13/",,False,"BO-NIT-301140029, BO-NIT-4746889017, BO-NIT-308468025","Although there is no NIT lookup service (whereby the NIT number of an individual or entity can be sought or verified) NITs are published in specific cases. For example, there are yearly lists of named providers to government (nomina de proveedores) at the following URL https://www.senapi.gob.bo/contrataciones/nomina-de-proveedores. Open a PDF link and you may find identifiers using the NIT column",es,,,True,BO,,,,,no_license,,,,,primary,2020-07-23,Original Research,Tax Identification Number,Número de Identificación Tributaria ,80,,,,,,,,,,5,,,75,,,,,company,,
XI-EORI,"This site allows to validate EORI numbers and provides access to the information related to Authorised Economic Operators (AEO). An EORI number is unique throughout the EU, assigned by a customs authority in a member state to economic operators (businesses) or persons. ",,False,NL810656371,An EORI number must start with two uppercase letters (the ISO code of the country that granted the number) followed by maximum 15 alphanumeric characters,,,http://ec.europa.eu/taxation_customs/business/calculation-customs-duties/rules-origin/general-aspects-preferential-origin/arrangements-list/generalised-system-preferences/the_register_exporter_system_en,True,XI,data_not_available,,,,no_license,False,,,,secondary,2017-07-18,,Economic Operators Identification and Registration system,,55,,,,,,,,,,5,,,,50,,,,"company, charity",,http://ec.europa.eu/taxation_customs/dds2/eos/eori_validation.jsp
US-EIN,"The Internal Revenue Service (IRS) assigns companies an Employer Identification Number (EIN) upon application. However, not all corporate entities are required to have an EIN. For tax-exempt entities (non-profits, charities etc.) the IRS maintains a list of EINs. Public listed company EINs are available via the Securities and Exchange Commission (SEC). 

Other EINs may be available by asking the organisation concerned, and are sometimes published on their websites.

""An Employer Identification Number (EIN) is also known as a Federal Tax Identification Number, and is used to identify a business entity. Generally, businesses need an EIN. "" [1]

""An employer identification number (EIN), also called a tax ID number or taxpayer ID, is required for most business entities... A tax ID number is not required if you operate a sole proprietorship or an LLC with no employees, in which case you would simply use your own Social Security Number as a tax ID."" [2]

""In the US, corporate registration happens at the state level. The timeliness, availability, and licensing of this data varies among all 50 states. There is no federal dataset that contains all corporate registrations. It would be possible to create a unified open registry for all US corporations (even if only via aggregation from state ones) but this does not exist at this time.

Across those states performance varies widely and in many cases data is not available in bulk, is not machine readable, is not openly licensed etc. For more detail, see the per state summary on Open Corporates."" [3]

""The Employer Identification Number (EIN), also known as the Federal Employer Identification Number (FEIN) or the Federal Tax Identification Number, is a unique nine-digit number assigned by the Internal Revenue Service (IRS) to business entities operating in the United States for the purposes of identification. When the number is used for identification rather than employment tax reporting, it is usually referred to as a Taxpayer Identification Number (TIN), and when used for the purposes of reporting employment taxes, it is usually referred to as an EIN. [4] 

[1] https://www.irs.gov/businesses/small-businesses-self-employed/employer-id-numbers-eins
[2] http://tax.findlaw.com/federal-taxes/is-a-tax-id-required-for-my-business-.html
[3] https://www.irs.gov/businesses/small-businesses-self-employed/employer-id-numbers-eins
[4] https://en.wikipedia.org/wiki/Employer_Identification_Number",,False,"03-0413726, 47-1850312","To search EINs of Exempt Orgs (nonprofits and charities, including: charitable organizations, churches and religions organizations, political organizations, private foundations, and more): https://apps.irs.gov/app/eos/

To search most public companies (those that are required to file forms with the US SEC): https://www.sec.gov/edgar.shtml",en,,https://apps.irs.gov/app/eos/,True,US,bulk,,,,,False,,,https://en.wikipedia.org/wiki/Employer_Identification_Number,secondary,2017-09-21,,Employer Identification Number - Internal Revenue Service,,52,,2,,,,,,,,,,,,50,,,,"company/listed_company, company/sole_trader, company/partnership, company, charity",,https://apps.irs.gov/app/eos/
SL-OARG,"The Office of Administrator and Registrar General in Sierra Leone is responsible for the ""administration of and registration of entities such as business registration, land transactions, industrial property, marriages and administration of the estates of deceased persons as mandated by law"". The types of business that can be registered through the OARG include sole proprietors, partnerships and companies.

The registration process is available online on the office's website. I was not able to find a searchable list of company registrations. The registration process includes a search to check whether the applicant's desired company name already exists.",,False,CF-218-2018 ,,en,,http://www.oarg.gov.sl,True,SL,data_not_available,,,,,False,,,,primary,2019-03-15,Original research,Office of Administrator and Registrar General,,75,,,,,,,,,,,,,75,,,,,"company, company/sole_trader, company/partnership, charity",,http://www.oarg.gov.sl/
AE-DFSA,"This register includes information on companies' name, DFSA reference number, address, phone number, legal status, services.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Dubai Financial Services Authority ,هيئة دبي للخدمات المالية,75,,,,,,,,,,,,,75,,,,,company,AE-DU,https://www.dfsa.ae/Public-Register/Firm
SK-ZRSR,"The Ministry of Interior Trade Register does have a database of companies, but users should refer to the Ministry of Justice Business Register in SK-ORSR for the unique identifier list for Slovakia. 

The Ministry of Justice has been shown to be the organisation responsible for company registration, and thus SK-ZRSR has been deprecated in favour of SK-ORSR.",,False,"35919043, 47364319, 36781673","Users can find identifiers using the simple, searchable online database. Users will have to click on the link for 'Aktuálny' or 'Úplný' under the column heading Výpis - or in English,  for 'Actual' or 'Full' under the column heading 'Extract' - of one of the companies in the search results in order to see company details.

Identifiers will be next to the heading 'IČO' or 'Identification' in English","en, sk",Database can be searched using the simple search. ,http://www.orsr.sk/search_subjekt.asp?lan=en,True,SK,html,,"registered_address, registration_number, date_of_registration, directors_trustees_governors, organisation_type, accounts, objectives/purpose",https://opencorporates.com/registers/234,closed_license,True,,http://opencorporates.com/companies/sk,,deprecated,2016-12-07,Desk research,Slovakia Ministry Of Interior Trade Register,,0,,,,,,,,,0,,,,,,,,,company,,http://www.orsr.sk/search_subjekt.asp?lan=en
GB-EDU,"Schools and Colleges in England must be registered with the Department of Education.[1]

The Register of Schools is maintained by the Department of Education and provides a URN for each school, university and other educational establishment in England.

The full Register of Schools in England is available at https://get-information-schools.service.gov.uk/Downloads.

 **The register for Welsh schools used to be part of this list, but is now the responsibility of the Welsh Government. Details of the Welsh list are available on org-id.guide.**

[1] This includes independent schools which meet the criteria on https://www.gov.uk/independent-school-registration

[2]http://org-id.guide/list/GB-WALEDU",,True,"125554, 125756, 134533","After conducting a search and selecting a school, college etc from the search results, the identifier will be next to the heading 'URN'.

Users can also download a CSV or Excel file of search results data by clicking on 'Download these search results', or access the full open data register from https://get-information-schools.service.gov.uk/Downloads in a variety of alternative formats.",en,Users can search for an educational establishment on this webpage https://get-information-schools.service.gov.uk,https://get-information-schools.service.gov.uk,True,GB,"bulk, csv, excel",The 'School Eng Register' is available at https://get-information-schools.service.gov.uk/Downloads and contains the URN or 'key' as the identifier.,"date_of_registration, number_of_employees, registration_number, expiry_date, status",UK Open Government Licence v3 https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,open_license,False,,,,secondary,2017-10-14,Desk research,Register of Schools (England and Wales),"Get information about schools, UK Register of Learning Providers",64,,2,1,1,,,,,,,10,,,50,,,education,"government_agency/public_service, government_agency",GB-ENG,https://get-information-schools.service.gov.uk
KG-TIN,"The Ministry of Justice of the Republic of Kyrgyz maintains the register of legal entities. It contains  entries for many kinds of companies, including:

* Companies
* Partnerships
* Co-operatives
* Trade unions
* Local and state enterprises
* Joint ventures
* Small businesses
* Political Parties
* Credit unions

This list references the Taxpayer Identification Numbers (TIN) scheme. ",,True,"02507199510010, 20502198100469","To find a company's TIN you will need to know one of company name ('наименование'), registration number ('Рег. №'), OKPO code (Код ОКПО). A search for one of these will return a link to the full company details, which includes the TIN","ky, ru","Company can be searched by its name ('наименование'), registration number ('Рег. №'), tax number ('ИНН'), OKPO code ('Код ОКПО', assigned to each legal entity for statistics purposes). Additional search criteria exist for company status ('Статус'), registration date ('Дата') etc.  

Search is free-of-charge, no English interface.",http://register.minjust.gov.kg/register/SearchAction.seam,True,KG,data_not_available,,,,,False,,,,primary,2019-01-29, ProZorro Business Register Research,Electronic database of legal entities and branches (Krygyzstan) TIN,"Юридикалык жактардын, филиалдардын электрондук базасы ИНН",75,,,,,,,,,,,,,75,,,,,"company, charity, company/limited_company, company/mutual, company/partnership, government_agency",,http://register.minjust.gov.kg/register/SearchAction.seam
ML-CCIM,"The Chamber of Commerce and Industry of Mali (CCIM) is responsible for the organization and professional representation of organisations and legal persons working in the various branches of commercial, industrial and service activities in Mali.",,False,,Ask organisations for their registration number as issued by the Chamber of Commerce and Industry of Mali.,,,,True,ML,,,,,no_license,False,,,,primary,2017-08-05,IATI,The Chamber of Commerce and Industry of Mali,,80,,,,,,,,,,5,,,75,,,,,company,,http://www.cci.ml/
CZ-DIC,"A VAT registration number (DIČ) is a unique and unambiguous identification of each tax entity, a legal or natural person who is a taxpayer (taxpayer). The tax identification number is assigned only after the entity, natural or legal person, obtains its IČO - its unique identification number. Note that the list [CZ-ICO](/list/CZ-ICO) might therefore provide a better set of identifiers for legal entities.

You can search by VAT (DIČ) number for a of the VAT payer registered in the Czech Republic. You can also use your company ID or company name or your business name and surname if you want to verify your VAT payer details.",,True,CZ25111299,DIČ number will be under `DIČ` header,cs,DIČ number can be validated by entering it in the `Vyhledávání v registru plátců DPH` section and then clicking `Vyhledat registraci`. Search results will provide company details,http://www.kurzy.cz/dic/,True,CZ,data_not_available,,,,no_license,False,,,,third_party,2017-11-08,ProZorro Business Register Research,Tax ID (DIČ) Czech Republic,Daňové identifikační číslo,30,,,,,,,,,,5,,,,,25,,,company,,http://www.kurzy.cz/dic/
ES-RMC,"The Central Mercantile Register (1) provides the access to the companies information supplied by the Regional Mercantile Registers after the 1 January 1990, once the data has been organized and processed in accordance with Section 379 of the Mercantile Register Regulations currently in effect.

(1) Central Commercial Register - Central Corporate Register - Central Business Register",,True,,,"en, es","The Central Mercantile Register offers two methods of obtaining information about registered companies and/or company names: 

1) USERS WITHOUT AGREEMENT - They should pay the corresponding legal tax by credit card. 
2) USERS WITH AGREEMENT - They must use the password assigned by the Central Mercantile Register after the Agreement has been signed.",,True,ES,,,,,open_license,False,,,,primary,2017-10-24,ProZorro Business Register Research,Central Commercial Register of the Kingdom of Spain,El Registro Mercantil Central,85,,,,,,,,,,,10,,75,,,,,company,,http://www.rmc.es/Home.aspx
XM-DAC,"The Organisation for Economic Co-operation and Development (OECD) Development Assistance Committee (DAC) maintain a list of organisations whom are involved in the transfer of 'Official Development Assistance' (ODA) financial flows. This list provides a useful fall-back source of identification for government agencies and multilateral organisations involved in aid, and in some cases, for international NGOs. 

The list is updated perioidically in response to demand for new entries from DAC members. 

Users should note that this list is designed to identify both organisations *and* funds or programmes, and so not all entries in this list equate to legally registered organisations. 

The list is available as a spreadsheet containing multiple codelists. Two can be used to construct organisation identifiers.

* The **Agency** list is used to construct identifiers for aid donor and recipient government agencies. This is constructed by combining the **donorcode** and **AgencyCode**, separated with a dash. For example, XM-DAC-1-8 identifies the Austrian (1) Development Agency (8).
 
* The **Channel codes** list is used to construct identifiers for multilateral organisations, and international NGOs for whom no other identifier is available. The 'Channel ID' should be used. For example, XM-DAC-41301 is the identifier for the UN Food and Agriculture Organisation (FAO). 

* The **Donor** list contains donor code values referring to the donor country as a whole. To maximise consistency, donor codes should not be used unless a specific agency, government department or fund is not identified for the reporting. In all other cases codes should be published in their 'Agency' form (e.g. XM-DAC-1-8 for Austrian Development Agency, rather than XM-DAC-1). 

Users should also note that some organisations exist in both the 'Channel Codes' and 'Agency' lists. As the Channel Codes list provides a cross-walk, use of the Channel Codes is preferred in these cases.",,True,"963-1, 1-8, 41301","Users can download an Excel file of the DAC and CRS codes from the OECD website.

If you are searching for a multilateral organisation or international NGO, search the 'Channel codes' list. If you find the organisation you are looking for, use the value of the 'Channel ID' column.

If you are searching for government agency, search the 'Agency' list, and when you find the row you want, combine the 'donorcode' and 'AgencyCode' columns, separated by '-'. 
","en, fr",,http://www.oecd.org/dac/stats/dacandcrscodelists.htm,True,,excel,Data is available in Excel file that contains much formatting.,,,no_license,False,,,,third_party,2018-08-07,Desk research,OECD Development Assistance Committee,,31,,,,1,,,,,,5,,,,,25,,,"company, government_agency, charity",,http://www.oecd.org/dac/stats/dacandcrscodelists.htm
AE-SAIF,"This register contains information on company name, business type, phone number, email, PO box.",,False,,,,,,True,AE,,,,,,False,,,,primary,2017-11-16,ProZorro Business Register Research,Sharjah Airport International Free Zone,المنطقة الحرة في مطار الشارقة الدولي,75,,,,,,,,,,,,,75,,,,,company,AE-SH,http://www.saif-zone.com/en/InvestorLounge/Pages/Investors.aspx
AF-CBR,"The Afghan Central Business Registry is a service which allows a single place to register a business in Afghanistan. All companies, groups and individuals are required to register at the ACBR, where they receive confirmation of their registration, become published in the ACBR Gazette and receive the Tax Identification Number. 

""The new Central Registry is a one stop shop to register your business. It brings together all of the functions previously done by the commercial courts, the Ministry of Justice and the Ministry of Finance."" [1]

""ACBR exists to provide services to businesses in Afghanistan intending to register their names and protect their intellectual property rights."" [2]

""All corporations, partnerships, limited liability companies and sole proprietorships doing Trade are required to register with ACBR, which facilitates the registration process, including assistance for completing the application form, paying fees, publishing key business information in the Official Gazette and reporting specification of businesses to the Revenue Department of MoF. Registration is required only one time unless a business makes major changes (i.e., change in ownership, executive management, or location or if the initial capital increases or decreases).

Businesses are referred to ACBR from either the Trader License office located in the Ministry of Commerce and Industry, from AISA, or from any other license departments after they acquire a business license."" [3]

[1] http://acbr.gov.af/FAQ.html
[2] http://acbr.gov.af/index.html
[3] http://acbr.gov.af/registration.html",,True,"102164, 121048, 14941","An online search is available at  https://www.acbrip.gov.af/companyverification/ 

This returns access to four identifiers (Reference, Registration, TIN Number, License).

The Registration Number should be used. ","en, ar",, https://www.acbrip.gov.af/companyverification/ ,True,AF,data_not_available,,"directors_trustees_governors, registered_address, industry_classifications, date_of_registration, registration_number, tax_id_number",,no_license,False,,,,primary,2018-07-24,Desk research,Afghanistan Central Business Registry,,80,,,,,,,,,,5,,,75,,,,,company,,http://acbr.gov.af/
